127.0.0.1 - - [30/Mar/2023:22:43:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:43:53 +0900] "GET /jwbook/registeration-form.html HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:43:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:44:50 +0900] "GET /jwbook/contact-form.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:54:20 +0900] "GET /jwbook/registeration-form.html?r_name=xc&r_email=cd%40dsd&r_tel=c&r_pass=c&r_date=2023-03-23&gender=Male&r_country=%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD&r_reg=Register HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:56:03 +0900] "GET /jwbook/request_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:56:09 +0900] "GET /jwbook/request_result.jsp?username=rf&job=%EB%AC%B4%EC%A7%81&favorite=%EC%A0%95%EC%B9%98 HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:56:19 +0900] "GET /jwbook/request_result.jsp?username=rf&job=%EB%AC%B4%EC%A7%81&favorite=%EC%A0%95%EC%B9%98 HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:24:54 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:26:34 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:27:27 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:28:43 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:28:43 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:28:44 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:28:44 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:28:44 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:28:44 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:28:44 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:28:44 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:28:45 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:30:27 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:34:23 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:35:18 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:36:00 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:41:33 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:47:57 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:49:59 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:51:04 +0900] "GET /Assign2019305067/membership_input_form(2019305067).jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [30/Mar/2023:23:59:08 +0900] "GET /jwbook/registeration-form.html?r_name=%E3%85%87&r_email=d%40dd&r_tel=d&r_pass=d&r_date=2023-03-01&gender=Male&r_country=%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD&r_reg=Register HTTP/1.1" 200 1259
